match_id,season,innings,ball,batting_team,bowling_team,striker,non_striker,bowler,runs_off_bat,extras,wides,noballs,byes,legbyes,penalty,wicket_type,player_dismissed,other_wicket_type,other_player_dismissed,striker_id,non_striker_id,bowler_id
598025,2013,1,3.6,Pune Warriors,Kings XI Punjab,RV Uthappa,AJ Finch,Azhar Mahmood,1,0,,,,,,,,,,1c17e270,b8d490fd,9a158001
829751,2015,1,16.4,Mumbai Indians,Sunrisers Hyderabad,AT Rayudu,KA Pollard,B Kumar,0,0,,,,,,caught,AT Rayudu,,,70d205c9,a757b0d8,2e81a32d
1175363,2019,2,16.1,Sunrisers Hyderabad,Rajasthan Royals,YK Pathan,Rashid Khan,JC Archer,2,0,,,,,,,,,,3c6ffae8,5f547c8b,5574750c
980979,2016,1,6.1,Sunrisers Hyderabad,Rising Pune Supergiants,KS Williamson,S Dhawan,R Ashwin,0,0,,,,,,,,,,d027ba9f,0a476045,495d42a5
1136594,2018,1,18.3,Kings XI Punjab,Mumbai Indians,MP Stoinis,MA Agarwal,JJ Bumrah,1,0,,,,,,,,,,d9273ee7,00ea847a,462411b3
981001,2016,1,14.2,Kolkata Knight Riders,Gujarat Lions,SA Yadav,YK Pathan,RA Jadeja,1,0,,,,,,,,,,271f83cd,3c6ffae8,fe93fd9d
548308,2012,1,11.3,Pune Warriors,Mumbai Indians,RV Uthappa,SPD Smith,JEC Franklin,1,0,,,,,,,,,,1c17e270,30a45b23,cf73ad76
1082611,2017,1,12.4,Sunrisers Hyderabad,Delhi Daredevils,KS Williamson,S Dhawan,PJ Cummins,4,0,,,,,,,,,,d027ba9f,0a476045,ded9240e
392227,2009,2,13.3,Chennai Super Kings,Mumbai Indians,ML Hayden,MS Dhoni,C Nanda,0,1,1.0,,,,,,,,,d8699ab7,4a8a2e3b,f24ca2ba
733979,2014,2,9.5,Kolkata Knight Riders,Rajasthan Royals,G Gambhir,RV Uthappa,R Bhatia,1,0,,,,,,,,,,bb345e0b,1c17e270,33a364a6
980907,2016,1,14.6,Royal Challengers Bangalore,Sunrisers Hyderabad,AB de Villiers,V Kohli,A Ashish Reddy,6,0,,,,,,,,,,c4487b84,ba607b88,1c2a64cd
1216532,2020/21,1,9.5,Sunrisers Hyderabad,Delhi Capitals,JM Bairstow,MK Pandey,A Mishra,0,0,,,,,,,,,,abb83e27,93b4fc78,6b19d823
336023,2007/08,2,19.2,Royal Challengers Bangalore,Rajasthan Royals,R Dravid,Abdur Razzak,RA Jadeja,0,0,,,,,,,,,,0184dc35,888e32bf,fe93fd9d
1216529,2020/21,1,9.2,Delhi Capitals,Mumbai Indians,SS Iyer,S Dhawan,JL Pattinson,0,0,,,,,,,,,,85ec8e33,0a476045,f752db61
419114,2009/10,2,3.6,Delhi Daredevils,Mumbai Indians,AB de Villiers,V Sehwag,SL Malinga,1,0,,,,,,,,,,c4487b84,8ba8195d,a12e1d51
733985,2014,2,7.1,Kolkata Knight Riders,Delhi Daredevils,G Gambhir,RV Uthappa,S Nadeem,4,0,,,,,,,,,,bb345e0b,1c17e270,9d80c5e1
1136593,2018,2,2.3,Kolkata Knight Riders,Chennai Super Kings,SP Narine,RV Uthappa,L Ngidi,4,0,,,,,,,,,,9d430b40,1c17e270,f834dcfc
335983,2007/08,1,7.6,Chennai Super Kings,Kings XI Punjab,SK Raina,MEK Hussey,JR Hopes,0,0,,,,,,,,,,1dc12ab9,48fd7349,2498e163
1178396,2019,2,8.4,Kolkata Knight Riders,Rajasthan Royals,RV Uthappa,CA Lynn,S Gopal,0,0,,,,,,,,,,1c17e270,45eda7c8,7a8bd078
419120,2009/10,1,2.3,Deccan Chargers,Delhi Daredevils,HH Gibbs,AC Gilchrist,A Mishra,1,0,,,,,,,,,,e1d1b294,2b6e6dec,6b19d823
1216525,2020/21,1,16.4,Royal Challengers Bangalore,Chennai Super Kings,S Dube,V Kohli,SN Thakur,4,0,,,,,,,,,,a4e37e47,ba607b88,1abb78f8
829727,2015,1,11.2,Sunrisers Hyderabad,Rajasthan Royals,NV Ojha,EJG Morgan,STR Binny,1,0,,,,,,,,,,890946a0,d2a6c0e6,bd17b45f
1254073,2021,1,4.4,Rajasthan Royals,Royal Challengers Bangalore,S Dube,SV Samson,Mohammed Siraj,0,0,,,,,,,,,,a4e37e47,a4cc73aa,2f49c897
548370,2012,1,11.6,Kolkata Knight Riders,Mumbai Indians,MK Tiwary,Shakib Al Hasan,Harbhajan Singh,6,0,,,,,,,,,,26e5cabf,7dc35884,8b5b6769
501266,2011,1,5.6,Chennai Super Kings,Royal Challengers Bangalore,WP Saha,MS Dhoni,DL Vettori,1,0,,,,,,,,,,fe11caa6,4a8a2e3b,d7c6af50
1175371,2019,1,3.6,Delhi Capitals,Sunrisers Hyderabad,S Dhawan,SS Iyer,Mohammad Nabi,1,0,,,,,,,,,,0a476045,85ec8e33,62af8546
501229,2011,2,5.3,Kochi Tuskers Kerala,Deccan Chargers,NLTC Perera,RA Jadeja,I Sharma,0,0,,,,,,,,,,0f12f9df,fe93fd9d,5bb1a1c4
980933,2016,2,13.2,Mumbai Indians,Delhi Daredevils,JC Buttler,RG Sharma,CH Morris,0,0,,,,,,,,,,99b75528,740742ef,fb66ce1f
392204,2009,2,9.5,Kings XI Punjab,Royal Challengers Bangalore,Yuvraj Singh,K Goel,A Kumble,0,0,,,,,,caught,Yuvraj Singh,,,1c914163,a1f1829d,0c2730df
1304087,2022,2,7.6,Delhi Capitals,Kolkata Knight Riders,Lalit Yadav,DA Warner,Harshit Rana,1,0,,,,,,,,,,ad427b5c,dcce6f09,77b1aa15
1216533,2020/21,1,15.4,Chennai Super Kings,Rajasthan Royals,MS Dhoni,RA Jadeja,BA Stokes,2,0,,,,,,,,,,4a8a2e3b,fe93fd9d,e087956b
392202,2009,1,9.1,Chennai Super Kings,Rajasthan Royals,SK Raina,S Badrinath,SK Warne,1,0,,,,,,,,,,1dc12ab9,3576e47e,bb18be76
1136594,2018,2,13.5,Mumbai Indians,Kings XI Punjab,HH Pandya,RG Sharma,AJ Tye,1,0,,,,,,,,,,dbe50b21,740742ef,7c7d63a2
598071,2013,1,13.1,Sunrisers Hyderabad,Rajasthan Royals,S Dhawan,DJG Sammy,KK Cooper,1,0,,,,,,,,,,0a476045,c03c6200,557153ca
548333,2012,1,3.4,Pune Warriors,Delhi Daredevils,RV Uthappa,JD Ryder,M Morkel,0,1,1.0,,,,,,,,,1c17e270,91ffa6c6,5bb5a915
1254091,2021,1,5.2,Sunrisers Hyderabad,Chennai Super Kings,KS Williamson,WP Saha,DL Chahar,0,0,,,,,,,,,,d027ba9f,fe11caa6,23eeb873
1178413,2019,2,7.2,Sunrisers Hyderabad,Kolkata Knight Riders,JM Bairstow,DA Warner,PP Chawla,1,0,,,,,,,,,,abb83e27,dcce6f09,98ae73b1
734033,2014,1,10.2,Kings XI Punjab,Rajasthan Royals,SE Marsh,WP Saha,R Tewatia,1,0,,,,,,,,,,508a1ea7,fe11caa6,39a2dfa8
1304102,2022,1,13.1,Kolkata Knight Riders,Mumbai Indians,SS Iyer,N Rana,M Ashwin,0,0,,,,,,caught,SS Iyer,,,85ec8e33,fb2d1dda,e2db2409
419139,2009/10,1,19.3,Kolkata Knight Riders,Kings XI Punjab,AD Mathews,DJ Hussey,SJ Srivastava,1,0,,,,,,,,,,896d78ad,fd835ab3,2049f3a0
1254064,2021,2,12.5,Rajasthan Royals,Delhi Capitals,DA Miller,R Tewatia,MP Stoinis,1,0,,,,,,,,,,d67d5f00,39a2dfa8,d9273ee7
548380,2012,1,6.5,Chennai Super Kings,Delhi Daredevils,MEK Hussey,M Vijay,Sunny Gupta,1,0,,,,,,,,,,48fd7349,4b57e452,ee3dfa89
598021,2013,2,15.2,Sunrisers Hyderabad,Kings XI Punjab,NLTC Perera,BB Samantray,MS Gony,1,0,,,,,,,,,,0f12f9df,53f27a35,ae78bc32
548367,2012,2,6.1,Mumbai Indians,Royal Challengers Bangalore,AT Rayudu,KD Karthik,HV Patel,0,0,,,,,,,,,,70d205c9,c03f1114,f986ca1a
1178426,2019,2,7.2,Sunrisers Hyderabad,Mumbai Indians,V Shankar,MK Pandey,KH Pandya,1,0,,,,,,,,,,0994d0ae,93b4fc78,5b8c830e
1175364,2019,2,0.1,Kings XI Punjab,Mumbai Indians,KL Rahul,CH Gayle,MJ McClenaghan,1,0,,,,,,,,,,b17e2f24,db584dad,51a3c5ef
548328,2012,2,16.1,Kolkata Knight Riders,Kings XI Punjab,JH Kallis,G Gambhir,BA Bhatt,0,0,,,,,,,,,,86dc8f2e,bb345e0b,dc4686e6
1178401,2019,2,12.4,Delhi Capitals,Kolkata Knight Riders,S Dhawan,RR Pant,LH Ferguson,0,1,1.0,,,,,,,,,0a476045,919a3be2,2f9d0389
1136606,2018,1,14.4,Sunrisers Hyderabad,Chennai Super Kings,S Dhawan,KS Williamson,DJ Willey,4,0,,,,,,,,,,0a476045,d027ba9f,7f048519
1254078,2021,2,8.3,Kolkata Knight Riders,Punjab Kings,RA Tripathi,EJG Morgan,Ravi Bishnoi,4,0,,,,,,,,,,77255a9e,d2a6c0e6,df064e1a
1216497,2020/21,2,19.5,Delhi Capitals,Kolkata Knight Riders,TU Deshpande,R Ashwin,LH Ferguson,0,0,,,,,,caught,TU Deshpande,,,46a9bea1,495d42a5,2f9d0389
392219,2009,1,9.3,Kolkata Knight Riders,Delhi Daredevils,SC Ganguly,MC Henriques,A Mishra,1,0,,,,,,,,,,725529bc,32198ae0,6b19d823
1304071,2022,2,5.5,Sunrisers Hyderabad,Kolkata Knight Riders,RA Tripathi,AK Markram,AD Russell,6,0,,,,,,,,,,77255a9e,6a26221c,bbd41817
1304116,2022,1,8.4,Sunrisers Hyderabad,Punjab Kings,AK Markram,Abhishek Sharma,Harpreet Brar,0,0,,,,,,,,,,6a26221c,f29185a1,c05edf8e
392218,2009,2,19.6,Royal Challengers Bangalore,Mumbai Indians,MV Boucher,A Kumble,SL Malinga,4,0,,,,,,,,,,f3cb53a1,0c2730df,a12e1d51
733985,2014,1,4.1,Delhi Daredevils,Kolkata Knight Riders,M Vijay,KP Pietersen,SP Narine,1,0,,,,,,,,,,4b57e452,39f01cdb,9d430b40
1136617,2018,1,10.5,Sunrisers Hyderabad,Chennai Super Kings,YK Pathan,MK Pandey,DL Chahar,0,0,,,,,,,,,,3c6ffae8,93b4fc78,23eeb873
1216507,2020/21,2,12.2,Rajasthan Royals,Sunrisers Hyderabad,R Tewatia,R Parag,V Shankar,0,0,,,,,,,,,,39a2dfa8,04a418e8,0994d0ae
336007,2007/08,2,15.5,Deccan Chargers,Chennai Super Kings,RG Sharma,SB Styris,JA Morkel,1,0,,,,,,,,,,740742ef,57efa3be,c3d35165
733975,2014,1,4.4,Delhi Daredevils,Rajasthan Royals,Q de Kock,KP Pietersen,JP Faulkner,1,0,,,,,,,,,,372455c4,39f01cdb,808f425a
1175368,2019,2,1.2,Delhi Capitals,Kings XI Punjab,S Dhawan,SS Iyer,SM Curran,2,0,,,,,,,,,,0a476045,85ec8e33,e94915e6
